,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
38,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Good Regal,Owen Lewis,T:                             Ismail Mohammed                                                    50,4,69.0,,5.5,None,10,,,,,False,,0,78.0,1
39,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Bearaway,Ismail Mohammed,T:                             Hughie Morrison                                                    47,4,44.0,,10.0,None,10,,,,,False,,0,79.0,2
40,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Cumulonimbus,Abdulla Al Mansoori,T:                             Charlie Fellowes                                                    44,3,43.0,,1.75,None,9,,,,,False,,0,80.0,3
41,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Electress,Sophie Reed,T:                             2                                                    Archie Watson                                                    50,3,66.0,,3.5,None,9,,,,,False,,0,78.0,4
42,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Typical Woman,Hughie Morrison,T:                             Ian Williams                                                    59,3,66.0,,6.5,None,9,,,,,False,,0,77.0,5
43,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Maokai,Turf Club 2020 & H Morrison,T:                             Harry & Roger Charlton                                                    29,3,54.0,,10.0,None,9,,,,,False,,0,82.0,6
44,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Rainbow Jet,Mark Winn,T:                             John Mackie                                                    50,5,70.0,,14.0,None,9,,,,,False,,0,80.0,7
45,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Maketh Believeth,Hector Crouch,T:                             Harry Dunlop                                                    67,4,71.0,,12.0,None,9,,,,,False,,0,87.0,1
46,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Alghazaal,Harry Dunlop,T:                             Charlie Longsdon                                                    67,5,55.0,,18.0,None,9,,,,,False,,0,86.0,2
47,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Mercian Hymn,Haven't A Pot,T:                             Sir Mark Todd                                                    50,4,68.0,,9.0,None,9,,,,,False,,0,91.0,3
48,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Kasperenko,Finley Marsh,T:                             Eric Alston                                                    50,8,80.0,,20.0,None,9,,,,,False,,0,85.0,4
49,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Tendentious,Charlie Longsdon,T:                             David O'Meara                                                    28,4,75.0,,9.0,None,9,,,,,False,,0,88.0,5
50,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Good Soul,Bill Bailey,T:                             Hugo Palmer                                                    48,4,54.0,,25.0,None,9,,,,,False,,0,90.0,6
51,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Tralee Hills,Ray Dawson,T:                             Simon Hodgson                                                    75,8,84.0,,12.0,None,9,,,,,False,,0,89.0,7
52,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,East End Girl,Sir Mark Todd,T:                             Lucy Wadham                                                    33,5,69.0,,12.0,None,9,,,,,False,,0,83.0,8
53,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Pentland Hills,The Mercian Partnership & O T I Racing,T:                             Nicky Henderson                                                    60,7,,,2.75,None,9,,,,,False,,0,,9
54,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Lady Percival,Oisin McSweeney,T:                             Hughie Morrison                                                    47,4,45.0,,25.0,None,9,,,,,False,,0,88.0,10
55,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Ghadbbaan,Eric Alston,T:                             Mark Walford                                                    47,6,80.0,,12.0,None,9,,,,,False,,0,86.0,11
56,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Sulochana,Con Harrington,T:                             Hughie Morrison                                                    47,5,75.0,,8.0,None,8,,,,,False,,0,86.0,12
57,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Rick Blaine,Jason Watson,T:                             Shaun Lycett                                                    33,5,,,33.0,None,8,,,,,False,,0,77.0,13
58,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Clifftop Heaven,David O'Meara,T:                             Archie Watson                                                    50,5,74.0,,20.0,None,8,,,,,False,,0,84.0,14
59,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Order Of St John,Quantum Leap Racing Xiii & Partner,T:                             D J Jeffreys                                                    100,5,75.0,,16.0,None,8,,,,,False,,0,84.0,15
60,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Red Derek,Clifford Lee,T:                             Lisa Williamson,6,81.0,,25.0,None,8,,,,,False,,0,88.0,16
61,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Tudor City,Mr B W Harvey,T:                             A J Martin                                                    50,10,133.0,,20.0,None,11,,,,,False,,0,143.0,1
62,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Felix Desjy,A J Martin,T:                             Gordon Elliott                                                    51,9,134.0,,28.0,None,11,,,,,False,,0,150.0,2
63,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Fils D'oudairies,John Breslin,T:                             Gordon Elliott                                                    51,7,140.0,,12.0,None,11,,,,,False,,0,153.0,3
64,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,My Mate Mozzie,Mr R James,T:                             Gavin Cromwell                                                    46,6,139.0,,8.0,None,11,,,,,False,,0,149.0,4
65,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Farout,Gordon Elliott,T:                             W P Mullins                                                    52,5,136.0,,12.0,None,11,,,,,False,,0,150.0,5
66,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Vina Ardanza,A Dunlop,T:                             Gordon Elliott                                                    51,5,133.0,,22.0,None,11,,,,,False,,0,149.0,6
67,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Glan,Davy Russell,T:                             Gordon Elliott                                                    51,7,136.0,,10.0,None,11,,,,,False,,0,146.0,7
68,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Exit Poll,Gordon Elliott,T:                             Mrs John Harrington                                                    42,8,,,22.0,None,10,,,,,False,,0,,8
69,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Clifton Warrior,Claudio Michael Grech,T:                             Henry De Bromhead                                                    36,6,128.0,,20.0,None,10,,,,,False,,0,148.0,9
70,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Charli Parcs,Kieren Buckley,T:                             Aidan Anthony Howard                                                    50,9,121.0,,66.0,None,10,,,,,False,,0,144.0,10
71,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Little Big Rocky,Gavin Cromwell,T:                             Patrick Downey                                                    100,7,128.0,,8.0,None,10,,,,,False,,0,142.0,11
72,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Magnor Glory,Alymer Stud,T:                             Terence O'Brien                                                    50,6,119.0,,33.0,None,10,,,,,False,,0,149.0,12
73,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Vultan,Paul Townend,T:                             2                                                    A J Martin                                                    50,5,106.0,,33.0,None,10,,,,,False,,0,148.0,13
74,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Effernock Fizz,W P Mullins,T:                             Cian Michael Collins                                                    50,7,122.0,,18.0,None,10,,,,,False,,0,145.0,14
75,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Flaming Moon,Thurloe Thoroughbreds Ireland Limited,T:                             Matthew J Smith                                                    33,5,125.0,,8.0,None,10,,,,,False,,0,150.0,15
76,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Wouldn't You Agree,Jordan Gainford,T:                             Eoin Griffin                                                    50,8,119.0,,40.0,None,10,,,,,False,,0,157.0,16
77,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Outback Flyer,Gordon Elliott,T:                             Peter Fahey                                                    20,6,124.0,,16.0,None,10,,,,,False,,0,149.0,17
78,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Dads Lad,Alymer Stud,T:                             W P Mullins                                                    52,7,123.0,,5.0,None,10,,,,,False,,0,153.0,18
79,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Darkened,Mark Walsh,T:                             Denis Gerard Hogan                                                    47,6,127.0,,25.0,None,10,,,,,False,,0,143.0,19
80,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Comeback Tiep,Mr R Sugrue,T:                             Eamon Courtney                                                    100,6,30.0,,666.0,None,11,,,,,False,,0,69.0,1
81,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Crabtrees Rebel,Eamon Courtney,T:                             James Andrew Fahey,6,67.0,,666.0,None,11,,,,,False,,0,85.0,2
82,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Dawn Rising,Mrs Valerie Courtney,T:                             2                                                    Joseph Patrick O'Brien                                                    52,5,98.0,,666.0,None,11,,,,,False,,0,110.0,3
83,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Hidalgo Des Mottes,G B Noonan,T:                             Eoin Griffin                                                    50,5,80.0,,666.0,None,11,,,,,False,,0,100.0,4
84,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Kottayam,James Andrew Fahey,T:                             W P Mullins                                                    52,7,,,666.0,None,11,,,,,False,,0,,5
85,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Lonesome Boatman,Patrick J Rogers,T:                             Martin Brassil                                                    33,6,112.0,,666.0,None,11,,,,,False,,0,100.0,6
86,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Moonovercloon,Mark Walsh,T:                             Matthew J Smith                                                    33,5,83.0,,666.0,None,11,,,,,False,,0,99.0,7
87,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Nibbles,Joseph Patrick O'Brien,T:                             Turlough O'Connor,5,,,666.0,None,11,,,,,False,,0,,8
88,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Spread Boss Ted,John P McManus,T:                             W P Mullins                                                    52,5,,,666.0,None,11,,,,,False,,0,,9
89,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Talk Of The Town,Ricky Doyle,T:                             1                                                    Nigel Thomas Slevin                                                    33,7,,,666.0,None,11,,,,,False,,0,,10
90,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,The Banger Doyle,Eoin Griffin,T:                             John Queally,6,67.0,,666.0,None,11,,,,,False,,0,100.0,11
91,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,The Short Go,David Phelan,T:                             Henry De Bromhead                                                    36,5,69.0,,666.0,None,11,,,,,False,,0,133.0,12
92,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Tipp For Mac,Danny Mullins,T:                             Thomas Cooper                                                    100,5,,,666.0,None,11,,,,,False,,0,,13
93,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Artemis Angel,W P Mullins,T:                             Peter Fahey                                                    20,5,16.0,,666.0,None,11,,,,,False,,0,89.0,14
94,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Jewelinthesky,Flynn & Gray Partnership,T:                             Eoin Christopher McCarthy                                                    48,6,,,666.0,None,11,,,,,False,,0,,15
95,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Kilbree Warrior,J J Slevin,T:                             Oliver McKiernan                                                    33,7,99.0,,666.0,None,11,,,,,False,,0,118.0,16
96,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,More Complaints,Martin Brassil,T:                             Turlough O'Connor,5,,,666.0,None,11,,,,,False,,0,,17
97,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Eveningofsummer,Sean & Bernardine Mulryan,T:                             1                                                    Ruaidhri Joseph Tierney                                                    50,6,,,666.0,None,11,,,,,False,,0,,18
98,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Glanaree,Keith Donoghue,T:                             Aengus King                                                    100,5,,,666.0,None,11,,,,,False,,0,,19
99,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822083,-,,,-,-,-,-,-,-,Gaudriole,Matthew J Smith,T:                             Nigel Thomas Slevin                                                    33,6,50.0,,666.0,None,11,,,,,False,,0,77.0,20
100,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Lonesome Day,D G Hogan,T:                             Denis Gerard Hogan                                                    50,5,66.0,,,None,11,,,,,False,,0,88.0,1
101,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,My Friend The Wind,Denis Gerard Hogan,T:                             E McNamara,7,85.0,,,None,11,,,,,False,,0,105.0,2
102,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Ceanndana,Morgan J Cahalan,T:                             Ross O'Sullivan                                                    31,5,90.0,,,None,11,,,,,False,,0,101.0,3
103,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Chief Seattle,Conor McNamara,T:                             John Patrick Ryan                                                    43,7,76.0,,,None,11,,,,,False,,0,97.0,4
